Visa Inc BDR,,Não Encontrado
Wal Mart Stores Inc BDR,00.000.000/0000-00,Encontrado
Wells Fargo & Co BDR,,Não Encontrado
FPC Par Corretora De Seguros S/A,42.278.473/0001-03,Encontrado
Boeing Co BDR,,Não Encontrado
Chevron Corp BDR,,Não Encontrado
ConocoPhillips DRC,,Não Encontrado
Citigroup Inc BDR,00.000.000/0000-00,Encontrado
Facebook Inc BDR,46.676.214/0001-83,Encontrado
International Business Machines BDR,,Não Encontrado
Eli Lilly and Co BDR,46.676.214/0001-83,Encontrado
McDonalds Corp BDR,,Não Encontrado
Fundo Investimento Imobil Merito,32.397.369/0001-76,Encontrado
Morgan Stanley Bank AG,,Não Encontrado
Netflix Inc DRC,,Não Encontrado
PepsiCo Inc BDR,,Não Encontrado
Schlumberger AG,32.319.931/0001-43,Encontrado
United Parcel Service Inc,,Não Encontrado
U.S. Bancorp DRC,05.715.179/0001-87,Encontrado
Guararapes Confeccoes SA,08.402.943/0001-52,Encontrado
Accenture PLC,96.534.094/0001-58,Encontrado
Bank of New York Mellon Corp,02.201.501/0001-61,Encontrado
Danaher Corp,00.000.000/0000-00,Encontrado
Gradiente Electronica SA,,Não Encontrado
Kimberly Clark Corp,,Não Encontrado
Metlife Inc,,Não Encontrado
Telecomunicacoes Brasileiras SA Telebras Pref,,Não Encontrado
Target Corp,,Não Encontrado
Whirlpool SA,,Não Encontrado
Avon Products Inc BDR,03.082.929/0001-03,Encontrado
Bristol-Myers Squibb Company BDR,56.998.982/0001-07,Encontrado
Colgate-Palmolive Co BDR,,Não Encontrado
Coty Inc BDR,00.999.968/0001-73,Encontrado
eBay Inc BDR,,Não Encontrado
Freeport Mcmoran Copper Gold Inc BD,,Não Encontrado
FedEx Corp BDR,00.000.000/0000-00,Encontrado
General Dynamics Corp BDR,,Não Encontrado
The Hershey Company BDR,04.429.377/0001-11,Encontrado
Mondelez International Inc BDR,,Não Encontrado
The Mosaic Company BDR,00.000.000/0000-00,Encontrado
Qualcomm Inc BDR,00.000.000/0000-00,Encontrado
